Name,Symbol,Price,Market Cap,24h Volume,Change (24h)
Bitcoin,BTC,84114.0,1671520851913,27413852511,-0.28537
Ethereum,ETH,1569.77,189620266399,12678392946,-2.59138
Tether,USDT,0.999995,144630967880,22584152114,0.00153
XRP,XRP,2.09,121925323371,3434669361,-0.91296
BNB,BNB,582.56,85019022672,498088645,-0.1026
Solana,SOL,127.77,66044153984,4342519186,0.02559
USDC,USDC,0.999988,60533832668,7912582036,0.00554
TRON,TRX,0.251633,23896115903,763730262,0.66605
Dogecoin,DOGE,0.153673,22887981041,769667390,-1.00494
Cardano,ADA,0.607207,21886830594,612880054,-1.9888
