Name,Symbol,Price,Market Cap,24h Volume,Change (24h)
Bitcoin,BTC,"$83,977.33","$1.67T$1,670,497,437,795",1.69%,1.27%
Ethereum,ETH,"$1,565.88","$189.3B$189,300,947,462",5.50%,2.05%
Tether,USDT,$0.9999,"$144.62B$144,621,979,166",0.01%,0.00%
XRP,XRP,$2.08,"$121.88B$121,883,856,730",2.09%,0.71%
BNB,BNB,$582.44,"$82.07B$82,072,273,395",0.11%,0.32%
Solana,SOL,$128.04,"$66.11B$66,107,023,063",6.82%,0.77%
USDC,USDC,$0.9999,"$60.54B$60,538,961,950",0.01%,0.01%
TRON,TRX,$0.2516,"$23.89B$23,891,837,525",6.70%,0.43%
Dogecoin,DOGE,$0.1539,"$22.91B$22,914,966,728",4.49%,0.60%
Cardano,ADA,$0.6077,"$21.44B$21,444,479,979",5.18%,0.48%
